believe,を信じる，と思う
consider,を見なす
expect,を予期する，と思う
decide,(を)決める
allow,を許す
remember,(を)覚えている
worry,心配する
concern,に関係する
suggest,を提案する
explain,(を)説明する
describe,の特徴を述べる
improve,を改善する
produce,を生産する
create,を創造する
provide,を供給する
increase,増える
grow,成長する
develop,を開発する
rise,上がる，昇る
raise,を上げる
follow,(の)次に続く
require,を要求する
fill,を満たす
support,を支持する
share,を共同で使う
face,に直面する
touch,を感動させる
store,を蓄える
pay,(金)を支払う
deal,〔~ withで〕に対処する，を扱う
save,(時間・金銭など)を節約する
happen,(事が)起こる (漠然的，または予想外の事象)
occur,(事が)起こる (具体的な事象，または丁寧な表現)
work,機能する
change,を変える
run,を経営する
turn,の向きを変える
return,戻る，帰る
stand,を我慢する
lie,横たわる
brain,脳
mind,心，精神
language,言語
thought,考え
knowledge,知識
skill,技術，技能
technology,科学技術
culture,文化
experience,経験
result,結果
reason,理由
cause,原因
effect,影響，効果
matter,問題
sense,感覚
way,方法
term,期間
situation,状況
condition,状態
position,(所定の)位置，場所
environment,環境
nature,自然
research,研究，調査
rule,規則
interest,興味
value,価値
view,意見
sound,音
form,形状
case,場合
role,役割
age,年齢，年
care,世話
risk,危険(性)
human,人間の
free,自由な
sure,確信して (主観的)
certain,確信して (客観的)
main,主要な (重要であること)
major,主要な (より優れていること)
minor,重要でない
clear,明らかな
likely,ありそうな
possible,あり得る
similar,似ている
close,(ごく)近い
common,共通の
general,一般的な
ordinary,普通の
specific,明確な
particular,特別の
individual,個人の
unique,特有の
rare,珍しい，まれな
therefore,したがって，その結果
thus,したがって (≒therefore)
moreover,そのうえ，さらに (≒besides，furthermore)
furthermore,そのうえ (≒besides，moreover)
besides,そのうえ (≒moreover，furthermore)
nonetheless,それにもかかわらず
notice,(に)気づく
note,(に)注意する，注目する
discover,を発見する
realize,を(はっきりと)理解する
recognize,をそれとわかる
encourage,を励ます
force,(人)に無理やり…させる
order,を注文する
affect,に影響する (≒influence)
offer,(人)に(物・事)を提供する
demand,を要求する
argue,と主張する (議論について)
claim,を主張する (自身の意見の主張)
object,反対する (≒oppose)
challenge,に異議を唱える
involve,を巻き込む
include,を含む (追加，構成要素，おまけ)
contain,を含む (物体，情報の内容など)
relate,を関連づける
connect,をつなぐ
refer,言及する
contact,と連絡を取る
compare,を比べる
measure,を測る
mark,(印など)をつける
approach,(に)近づく
reach,に到着する
achieve,を達成する
receive,を受け取る
complete,を完成させる
lead,を導く
win,(に)勝つ
lose,を失う
fail,できない
miss,に乗り遅れる
lack,に欠けている，が不足している
reduce,を減らす
avoid,を避ける
limit,を制限する
prevent,を妨げる
wear,を身に着けている
bear,を我慢する (≒stand)
focus,を集中させる
author,著者 (≒writer)
professor,教授
sentence,文
passage,(文章の)一節
message,伝言，メッセージ
statement,陳述
topic,論題，話題
article,記事
issue,問題
theory,理論
evidence,証拠 (≒proof)
experiment,実験
subject,(研究・話などの)主題
government,政府
policy,政策，方針
education,教育
company,会社
colleague,同僚 (≒coworker)
industry,産業
trade,貿易
economy,(国家などの)経済
customer,顧客
benefit,(物質的・精神的)利益
figure,図
rate,比率
chance,見込み
opportunity,機会
project,事業
practice,練習
effort,努力
quality,質
quantity,量
amount,金額
scientific,科学の
political,政治の
social,社会の
official,公式の
financial,財政(上)の
expensive,高価な
various,さまざまな
normal,普通の
familiar,よく知っている
appropriate,適切な
necessary,必要な
correct,正しい (≒right)
available,利用できる，入手できる
typical,典型的な
positive,積極的な
negative,好ましくない，消極的な
passive,受動的な
physical,身体の
mental,精神の
rather,むしろ
instead,その代わりに
otherwise,そうでなければ
somehow,どうにかして
somewhat,いくぶん
wonder,と思う
suppose,(たぶん)と思う
imagine,を創造する
regard,を見なす
wish,(…であればいいのに)と思う
determine,を決定する
express,を表現する
represent,を象徴する
identify,を特定する
mention,に言及する
solve,を解決する
prove,を証明する
communicate,意思を通じ合う
respect,を尊敬する
prefer,の方を好む
design,を設計する
establish,を設立する (≒found)
found,を設立する (≒establish)
publish,を出版する
serve,(の)役に立つ
supply,を供給する
apply,申し込む
treat,を扱う
search,(場所など)を探す
prepare,(を)準備する
protect,を保護する
pick,を選び取る
fit,(に)ぴったり合う
gain,を(努力して)手に入れる
enter,に入る
spread,ひろがる
advance,前進する
tend,傾向がある
depend,依存する
exist,存在する
decline,減る，衰える
decrease,減る
waste,を浪費する
damage,(物・体の一部)に損害を与える
suffer,苦しむ
act,行動する
perform,を行う
species,(生物の)種
variety,多様(性)
degree,程度 (≒extent)
range,範囲
standard,水準，基準
medium,(伝達などの)媒体
advantage,有利な点
task,(課された)任務，仕事
rest,残り
purpose,目的
feature,特徴
factor,要因，要素
shape,形
image,イメージ，印象
detail,詳細(な情報)
character,性格 (≒personality)
function,機能
structure,構造
ground,地上
influence,影響
disease,病気 (≒illness，sickness)
pain,痛み
medicine,薬
death,死
fear,恐怖(心)
memory,記憶(力)
emotion,(喜怒哀楽の)感情
movement,
region,
climate,
temperature,
community,
population,
generation,
present,
recent,
current,
ancient,
previous,
serious,
careful,
responsible,
active,
afraid,
aware,
patient,
whole,
low,
huge,
blank,
central,
safe,
wild,
eventually,
unfortunately,
seemingly,
afterward,
altogether,
assume,
guess,
associate,
desire,
indicate,
respond,
reply,
attempt,
manage,
maintain,
unite,
join,
attract,
match,
attack,
seek,
engage,
succeed,
marry,
attend,
satisfy,
survive,
promote,
earn,
feed,
taste,
smell,
adapt,
adopt,
adjust,
separate,
exchange,
replace,
remove,
release,
disappear,
observe,
estimate,
reveal,
emerge,
arise,
citizen,
career,
income,
billion,
bill,
charge,
item,
scale,
site,
section,
crop,
diet,
source,
resource,
moment,
decade,
stage,
aspect,
sort,
instance,
link,
contrast,
access,
device,
survey,
technique,
content,
surface,
concept,
difficulty,
trouble,
crime,
attitude,
habit,
whatever,
urban,
rural,
local,
native,
smart,
intelligent,
intellectual,
potential,
moral,
private,
equal,
fair,
entire,
initial,
essential,
significant,
terrible,
digital,
direct,
nearly,
merely,
seldom,
lately,
apart,
trust,
promise,
predict,
reflect,
recall,
rely,
commit,
appreciate,
praise,
doubt,
complain,
ignore,
warn,
gather,
acquire,
examine,
score,
judge,
select,
divide,
distinguish,
graduate,
shift,
hide,
mix,
fix,
display,
define,
invent,
vary,
expand,
evolve,
confuse,
consume,
compete,
repeat,
repair,
remind,
refuse,
reject,
deny,
destroy,
audience,
race,
conflict,
debate,
struggle,
strategy,
progress,
principle,
element,
origin,
birth,
ancestor,
cell,
gene,
scene,
trend,
traffic,
track,
series,
context,
background,
basis,
status,
volunteer,
staff,
duty,
labor,
reward,
aim,
fun,
crowd,
revolution,
poverty,
consequence,
sequence,
complex,
complicated,
false,
alternative,
extreme,
ideal,
primary,
worth,
obvious,
legal,
commercial,
artificial,
chemical,
biological,
former,
mobile,
straight,
regular,
independent,
overseas,
unlike,
via,
whereas,
perceive,
fascinate,
bore,
disappoint,
imply,
recommend,
demonstrate,
conclude,
announce,
appeal,
address,
advertise,
invite,
afford,
purchase,
participate,
belong,
conduct,
behave,
operate,
organize,
host,
combine,
deliver,
locate,
encounter,
surround,
explore,
stick,
strike,
hurt,
bite,
tear,
aid,
press,
burn,
flow,
preserve,
borrow,
steal,
escape,
neighbor,
household,
resident,
vehicle,
wheel,
delay,
fuel,
pollution,
atmosphere,
electricity,
cancer,
plague,
threat,
flood,
earthquake,
disaster,
crisis,
victim,
wealth,
fund,
capital,
profit,
talent,
capacity,
scholar,
tradition,
literature,
lecture,
manner,
symbol,
analysis,
version,
perspective,
vision,
sight,
insight,
bilingual,
capable,
willing,
eager,
amazing,
calm,
quiet,
senior,
elderly,
firm,
severe,
tough,
rapid,
immediate,
vast,
enormous,
broad,
narrow,
tiny,
efficient,
constant,
nearby,
distant,
insist,を断固要求する
intend,を意図する，つもりでいる
inspire,を奮起させる
emphasize,を強調する，力説する
propose,を提案する
persuade,を説得する
convince,に納得[確信]させる
admit,
favor,
excuse,
interpret,
translate,
concentrate,
criticize,
blame,
oppose,
inform,
grant,
obtain,
transform,
alter,
arrange,
interact,
handle,
extend,
settle,
contribute,
construct,
consist,
suit,
tie,
differ,
hate,
dislike,
disagree,
regret,
employ,
hire,
absorb,
expose,
breathe,
root,
immigration,
tribe,
landscape,
agriculture,
soil,
mine,
mass,
quarter,
era,
circumstance,
phenomenon,
custom,
religion,
civilization,
universe,
diversity,
trait,
review,
occasion,
campaign,
board,
facility,
court,
trial,
laboratory,
instrument,
instruction,
document,
target,
outcome,
muscle,
wage,
gender,
confidence,
credit,
conscious,
anxious,
asleep,
alive,
alike,
excellent,
odd,
sensitive,
sensible,
violent,
military,
nuclear,
contemporary,
elementary,
annual,
chief,
actual,
virtual,
numerous,
multiple,
widespread,
sufficient,
empty,
confirm,
illustrate,
spell,
bother,
annoy,
disturb,
discourage,
embarrass,
frighten,
puzzle,
upset,
simulate,
beat,
blow,
injure,
cure,
recover,
overcome,
quit,
transfer,
transport,
export,
import,
invest,
investigate,
manufacture,
react,
award,
ban,
prohibit,
forbid,
abandon,
freeze,
lift,
hang,
shake,
stretch,
lay,
stare,
gaze,
capture,
breed,
mammal,
ape,
insect,
infant,
organ,
web,
fossil,
battle,
enemy,
weapon,
arm,
army,
navy,
border,
barrier,
philosophy,
psychology,
alarm,
harm,
depression,
disadvantage,
shortage,
stock,
loan,
budget,
innovation,
union,
unit,
material,
substance,
stuff,
proportion,
edge,
code,
mystery,
curious,
strict,
frank,
polite,
aggressive,
accurate,
exact,
proper,
brief,
extraordinary,
flexible,
pleasant,
comfortable,
stable,
thick,
thin,
abstract,
concrete,
absolute,
prime,
vital,
contrary,
regardless,
permit,
suspect,
pursue,
pretend,
calculate,
guarantee,
acknowledge,
impress,
urge,
convey,
celebrate,
admire,
devote,
dominate,
eliminate,
restrict,
isolate,
endanger,
secure,
reserve,
possess,
launch,
detect,
reverse,
convert,
hurry,
rush,
roll,
crash,
bury,
dig,
attach,
melt,
accompany,
assist,
cope,
lend,
rent,
owe,
apologize,
forgive,
tongue,
dialect,
accent,
colony,
grain,
harvest,
ingredient,
portion,
hunger,
obesity,
burden,
emergency,
debt,
contract,
client,
therapy,
physician,
democracy,
election,
vote,
candidate,
minister,
conference,
ceremony,
institution,
corporation,
cooperation,
authority,
theme,
notion,
hypothesis,
discipline,
route,
routine,
destination,
domestic,
ethnic,
alien,
visible,
verbal,
fundamental,
conventional,
relevant,
rational,
precise,
principal,
crucial,
permanent,
intense,
equivalent,
frequent,
sudden,
temporary,
internal,
external,
distinct,
extinct,
exhausted,
evil,
greet,
chat,
remark,
utter,
command,
declare,
pronounce,
correspond,
imitate,
resemble,
exhibit,
distribute,
attribute,
evaluate,
assess,
deserve,
weigh,
strengthen,
weaken,
approve,
assign,
sustain,
accomplish,
relieve,
frustrate,
scare,
resist,
protest,
shut,
defeat,
neglect,
retire,
reform,
collapse,
ruin,
sink,
pile,
derive,
yield,
occupy,
wrap,
embrace,
length,
height,
volume,
sum,
frame,
boundary,
district,
territory,
square,
empire,
heritage,
fee,
discount,
charity,
mission,
profession,
slave,
witness,
incident,
insurance,
welfare,
treasure,
leisure,
priority,
reputation,
honor,
statue,
architecture,
logic,
mechanism,
clue,
means,
trap,
trick,
guard,
innocent,
guilty,
rude,
shy,
liberal,
stupid,
reluctant,
generous,
modest,
lonely,
pure,
grand,
adequate,
apparent,
classic,
remote,
solid,
raw,
plain,
primitive,
